Sik-K	GS.EI1.S.IH5.GS.AI1.K.EI4.K.EI4.Y.I2
Milky Chance	MI.OU1.K.I3.QI.AN4.S
James TW	JI.IE4.M.S.IH5.TI.I1.D.A1.B.LI.OU5
約翰貝瑞	YU.IE1.H.AN4.BI.EI4.RU.EI4
Astrid S	GS.EI2.S.XU.IE4.T.GS.EI2.S.IH5
Krewella	KU.EI3.W.EI1.L.A3
Alfred Brendel	GS.EI2.F.R.I1.D.BU.U4.R.GS.EN1.DI.AO4
José González	H.OU1.SHU.EI2.GU.OG1.XI.IE4.L.E5.S
The Treblemakers	NI.I3.D.E5.QU.AN1.D.OU1.M.EI2.K.E5
Metallica	M.E3.T.A1.LI.I3.K.A3
格倫·顧爾德	G.E2.LU.UN2.GU.U4.GS.ER3.D.E2
Super Junior-D&E	SU.U1.P.ER5.ZHU.U1.NI.I3.ER3.DI.I4.Y.I4
玉置浩二	YU.YU4.ZH.IH4.H.AO4.GS.ER4
John Newman	JI.AG1.NI.OU1.M.EN3
Nujabes	NI.IG1.JI.IE4.P.S.IH5
Cher	XI.IE4.GS.ER3
Randy Newman	RU.AN1.DI.I4.LI.OU1.M.EN3
Sum 41	SH.AG4.BU.O1.TI.I1.W.AN4
Kim Na Young	K.I4.M.N.A4.Y.AG4
Ayaka Hirahara	GS.A3.Y.A3.K.A3.H.AI1.RU.A1.H.A1.R.GS.A3
Ray Charles	RU.EI4.CH.AO4.S.IH5
柴崎幸	C.AI2.QI.I2.XI.IG4
KT Tunstall	K.EI1.TI.I1.T.AN1.S.IH5.D.OU3
Matt Terry	MI.IE1.T.TI.AN1.R.I3
The Black Skirts	D.E5.BU.U2.LI.IE4.K.E5.S.G.EI4.M.S.IH5
Jackson 5	JI.IE1.K.E5.S.AN1.F.A3.Y.I5
米希亞	MI.IG2.XI.I1.Y.A3
Vanilla Acoustic	M.A3.NI.I4.N.A4.GS.ER2.K.O1.S.IH5.DI.I3.K
詹森淮	ZH.AN1.SH.EN1.HU.AI2
Trash	QU.IE4.SHU.U5
Tegan and Sara	T.AI2.G.EN1.GS.EI2.L.E5.SH.IH1.RU.A3
Elton John	Y.AO1.TU.AN1.ZHU.OG4
MUSIC BOX COLLECTION	MI.OU1.XI.I3.K.B.A4.K.E5.S.K.E4.L.AI2.K.SH.EN3
普萊亞	P.U3.L.AI2.Y.A4
Kings of Convenience	K.I1.Y.IG1.S.IH5.GS.OU4.F.U5.K.AG1.F.EN3.NI.I3.S
Richard Marx	RU.EI1.T.ER3.M.A4.K.E5.S.IH5
supercell	SU.U1.P.L.E1.XI.IE3.GS.OU5
Zacari	S.AI1.K.A1.RU.I3
秦基博	QI.IN2.JI.I1.BU.O2
Cat Stevens	K.EI4.T.E5.S.DI.I1.F.EN5.S
Hans de Back	H.AN2.S.IH5.DI.I3.D.EI1.K.E5
Gael García Bernal	G.EI1.GS.OU3.G.A1.PI.I1.GS.A1.BU.U4.GS.EN1.GS.OU3
Kings of Leon	TI.IG2.SH.IH4.GS.O3.BU.O5.LI.OU3
yaeji	Y.IE2.JI.I3
Aretha Franklin	GS.ER2.LI.I4.S.A1.F.EI1.K.E5.LI.IG3
香香	XI.AG1.XI.AG1
Simply Red	XI.IN1.B.ER3.R.I1.MI.IE4.D.E5
Stacey Kent	S.IH5.D.EI1.XI.I3.K.I1.Y.AN4.T.E5
Far East Movement	B.A2.Y.I1.S.DU.EI4.M.O1.M.M.EN3
The Vamps	R.E4.LI.IE4.P.S
范安婷	F.AN4.GS.AN1.TI.IG2
Mother Goose Club	M.A1.D.ER3.G.OU4.S.K.E5.L.A4.BU.U5
Travie McCoy	CHU.U1.W.A1.F.I4.M.E5.KU.O4.Y.I3
謝宜君	XI.IE4.Y.I2.JU.IN1
吳卓源	W.U2.ZHU.O2.YU.AN2
Cigarettes After Sex	Y.AO1.G.E4.RU.EI4.Z.IH5.GS.ER3.P.EI1.S.AI4.S
Madilyn Bailey	M.EI1.DI.I5.LI.IN3.BI.EI1.LI.I3
Snoop Dogg	SH.IH3.RU.U2.BI.I3.D.A4.G.E5
Keane	K.I4.N
Lily Allen	LI.I4.LI.I4.GS.EI1.L.EG3
Amy Winehouse	GS.EI1.MI.I4.W.AI1.K.AO4.S
萬芳	W.AN4.F.AG1
蘇永康	SU.U1.Y.OG3.K.AG1
陳淑樺	CH.EN2.SHU.U2.HU.A2
向蕙玲	XI.AG4.HU.EI4.LI.IG2
AKB48	GS.EI2.K.EI1.BI.I1.F.O1.LI.I4.GS.EI4
Lianne La Havas	LI.AN2.R.L.A3.H.EI1.F.E5.S.IH5
金玟岐	JI.IN1.W.EN2.QI.I2
Beck	BI.EI4.K.E4
Foxes	F.A4.K.E5.S.E3.S.IH5
gugudan	GU.U1.GU.U1.D.AN4
朴燦烈	P.U3.C.AN4.LI.IE4
Foo Fighters	F.U4.F.AI1.T.ER3.S
R. Kelly	GS.A1.K.EI1.LI.I3
DOLF	D.OU3.F.U5
D'Angelo	DI.I4.GS.EN1.ZH.E5.L.OU3
A$AP Mob	GS.EI1.XI.IE4.P.M.A4.P
moumoon	M.AO1.MU.U4
DREAMS COME TRUE	JU.IN1.SH.IH4.K.AG1.CHU.U4
CNBLUE	XI.I1.GS.EN1.B.LU.U4
YUI	W.AI1.Y.OU1.GS.AI4
毛不易	M.AO2.BU.U2.Y.I4
ODESZA	GS.OU4.D.EI1.S.A3
ScHoolboy Q	S.GU.U1.BU.O3.Y.I1.K.E5.Y.OU2
MeloMance	M.EI1.L.OU3.M.EI4.M.S.IH5
FS (Fuying & Sam)	GS.AI1.F.U3.GS.EI2.S.IH5.W.U2.Y.I4.GS.AN1.D.E5.SH.AN4
蔡小虎	C.AI4.XI.AO3.HU.U3
Sarah McLachlan	SHU.EI2.L.A4.M.A1.K.AO4.K.EN3
Susie Tallman	XI.OU1.XI.I3.T.W.AG4.M.EN3
Lost Kings	LU.O1.S.K.Y.IN3
Baby Sleep Lullaby Academy	BI.EI1.LI.I3.S.IH1.LI.I4.P.L.A1.L.E5.B.AI3.GS.ER2.K.JI.A1.D.E5.MI.I3
Sarah Vaughan	XI.IE1.RU.AN3.F.OG4
Johnny Cash	JI.AG1.NI.I3.K.IE4.XU.YU3
filous	BI.I1.L.E3.S
Josh Gad	JI.A1.XU.YU5.G.EI3.D.E5
丹尼·葉夫曼	D.AN1.NI.I3.Y.IE4.F.U1.M.AN4
The Killers	D.E5.K.I1.L.ER3.S
My First Music	M.AI1.F.ER5.S.LI.OU1.XI.I3.K.E5
群星	QU.IN2.XI.IG1
LeAnn Rimes	Y.I1.GS.AN1.RU.AN4.S
Rod Stewart	RU.A1.D.E5.S.IH5.DU.U1.GS.O3.D.E5
John Lennon	JI.AO1.L.EI4.N.AO3
Empire Cast	GS.EI1.M.P.AI2.Y.AO4.K.AI3.S.IH5.T.EN3
Placebo	P.L.E5.XI.I1.B.GS.OU3
Angela Aki	GS.EN1.JI.OU3.L.A5.GS.A1.K.I3
張瑋伽	ZH.AG1.W.EI3.JI.A1
Susan Boyle	SU.U1.S.EN3.BU.O1.Y.OU3
Kassy	G.A1.QI.I4
Enigma	Y.IN3.LI.IE1.G.E5.M.A5
Chet Faker	QI.IE4.T.F.EI1.K.ER5
Estelle	G.EI4.S.IH5.DI.I4.GS.OU3.LI.AN2
張蓉蓉	ZH.AG1.R.OG2.RU.OG2
告五人	G.AO4.W.U3.R.EN2
Slowdive	SH.IH2.L.OU5.D.A4.YU.YU3
張秀卿	ZHU.AG1.XI.OU4.QI.IN1
Betty Who	F.EI1.TI.I1.HU.U4
W&W	D.A2.BU.U4.YU.YU1.GS.EI1.M.D.A2.BU.U4.LI.I4.M
M.O	GS.EN1.GS.OU1
Pay money To my Pain	P.EI2.M.AG2.LI.I4.TU.U2.M.AI3.PI.AN4
Late Night Alumni	L.EI3.Y.I4.T.N.AI4.N.GS.E4.L.A1.N.AI3
荒山亮	HU.AG1.SH.AN1.LI.AG4
Madison Beer	M.EI1.DI.I5.S.EN5.BI.I4.GS.ER3
Iron Maiden	GS.AI1.R.EN4.M.EI4.D.EN3
Macy Gray	M.EI2.XI.I1.K.RU.I3
Diana Ross	G.A3.Y.AN4.N.A3.RU.A4.S.IH5
Dear Jane	DI.I4.ER3.JI.AN3
Aquilo	GS.E3.KU.EI4.L.OU2
金在中	JI.IN1.Z.AI4.ZHU.OG1
The Black Keys	L.AI4.BU.U2.HU.EI4.K.I4.S
Young Thug	Y.OG1.SH.AN3.W.U4
Ingrid Michaelson	Y.IN1.GU.EI1.T.M.AI4.K.S.EN3
Brandy	B.RU.EI1.N.DI.I3
io樂團	GS.AI1.GS.OU1.YU.IE4.TU.AN2
宋智恩	SU.OG4.ZH.IH4.GS.EN1
Kurt Hugo Schneider	K.E1.D.E5.RU.U1.G.OU3.XU.IN2.L.AI4.D.ER3
亦帆	Y.I4.F.AN2
王菀之	W.AG2.W.AN3.ZH.IH1
欣暐	XI.IN1.W.EI3
Grimes	GU.AN1.M.EI4.S
The fin.	L.E4.BI.IG4
Flux	P.U2.L.A4.K.E5.S.IH5
Jeremih	JU.IE2.R.E4.MI.I3
陳粒	CH.EN2.LI.I4
Hillsong Young & Free	Y.I1.YU.IE4.SH.AO4.W.U3.Y.A1
Chicago	CH.IH3.K.A1.G.OU3
周柏豪	ZH.OU1.BU.O2.H.AO2
王靖雯	W.AG2.JI.IG4.W.EN2
郭富城	GU.O1.F.U4.CH.EG2
SS501	D.A1.BU.OU3.GS.EI2.S.IH5.W.U3.LI.IG2.Y.I1
David Bowie	D.EI1.F.I1.BU.OU1.Y.I3
Train	XU.AN4
Steve Aoki	S.DI.I2.GS.EI2.GS.OU1.K.I3
Brian Crain	BU.U1.L.AI4.GS.EN3.KU.EI4.N
隨性樂團	SU.EI2.XI.IG4.YU.IE4.TU.AN2
Yo La Tengo	Y.OU3.L.A1.TI.IG1.G.OU3
夜貓組 (Leo王+春艷)	Y.IE4.M.AO1.ZHU.U3
Owl City	GS.AO4.XI.I1.TI.I3
Sigala	XI.I1.G.EI1.L.E5
FTISLAND	BU.U2.DI.I1.S.D.AN4.D.E5
Ludovico Einaudi	RU.U2.GU.U1.BI.I1.K.OU1.GS.EI1.N.AO3.DI.I3
螢火蟲	Y.IG2.HU.O3.CHU.OG2
游鴻明	Y.OU2.HU.OG2.MI.IG2
Phil Collins	F.EI1.W.OU1.K.A1.L.EG3.S.IH5
亞倫曼肯	Y.A4.LU.UN2.M.AN4.K.EN3
Arctic Monkeys	GS.A1.R.TI.I3.K.M.AG1.K.I3.S
程璧	CH.EG2.BI.I4
TLC	TI.I4.GS.EI2.L.OU5.XI.I3
Hurts	GS.ER4.C.IH5
最好的時光三重奏	ZU.EI4.H.AO3.D.E5.SH.IH2.GU.AG1.S.AN1.CHU.OG2.Z.OU4
董事長樂團	DU.OG3.SH.IH4.ZH.AG3.YU.IE4.TU.AN2
Gorillaz	GU.U1.RU.EI4.L.E5.S
鄭秀文	ZH.EG4.XI.OU4.W.EN2
5 Seconds of Summer	B.AI1.F.EI4.K.EI4.D.E5.S.H.AO4.M.S.AG1.M.ER3.R.EN2
濱崎步	BI.IG1.QI.I2.BU.U4
古巨基	GU.U3.JU.YU4.JI.I1
Westlife	W.EI4.S.IH5.L.AI4.F.U5
潘越雲	P.AN1.YU.IE4.YU.IN2
Michael Bublé	M.AI2.K.OU1.BU.U4.BU.U2.L.EI4
The Wanted	R.EN3.W.AG4.PI.I3.L.E5
費玉清	F.EI4.YU.YU4.QI.IG1
周華健	ZH.OU1.HU.A2.JI.AN4
Within Temptation	W.I1.DI.IN4.TI.IE3.M.T.GS.EI1.SH.EN3
林隆璇	LI.IN2.LU.OG2.XU.AN2
FKJ	GS.EI2.F.U5.K.EI4.ZH.EI4
Ciara	S.I1.GS.EI1.RU.A3
李翊君	LI.I3.Y.I4.JU.IN1
w-inds.	W.I1.Y.IN4.D.E5.S
GLAY	G.E5.L.EI4
游學志	Y.OU2.XU.IE2.ZH.IH4
Josh Groban	JI.AO1.XU.YU3.GU.O1.BI.EN3
New Order	NI.OU1.W.O1.D.ER3
Ben E. King	BI.AN1.Y.I1.K.IG3
Audiomachine	GS.OU1.LI.OU1.M.E5.XI.IN4
The Temptations	LI.OU1.T.AN2.BU.U4.T.E5.SH.EN3.S
Tycho	T.AI1.K.OU3
Survivor	SH.E4.F.AI1.F.ER3
寫手	XI.IE2.SH.OU3
Sampha	SH.AN1.F.A5
Tom Walker	T.AG2.W.O1.K.E5
白日夢	B.AI2.R.IH4.M.EG4
Hiroyuki Sawano	Y.I2.L.OU3.Y.OU1.K.I1.S.A1.W.AN1.GS.OU3
Fort Minor	H.OU2.D.E5.M.AI3.N.GS.ER3
50 Cent	F.EI1.F.U5.TI.I3.XI.AN4.T.ER5
猛虎巧克力	M.EG2.HU.U3.QI.AO3.K.E4.LI.I4
Nicky Jam	NI.I3.K.I3.JI.IE4.M
BuskerBusker	P.U1.S.IH5.T.E3.F.U1.S.IH5.T.ER3
華麗菲娜	HU.A2.LI.I4.F.EI1.N.A4
Marilyn Manson	M.EI3.GS.ER3.LI.I3.M.EI1.S.EN3
Cashmere Cat	K.IE1.S.IH5.MI.I2.GS.ER5.K.IE4.T
LOOΠΔ	RU.U4.N.A2
MAN WITH A MISSION	MI.AN2.W.EI3.GS.ER2.M.EI1.SH.EN3
Natalie Imbruglia	N.A4.T.A1.LI.I3.Y.IN1.RU.U2.GU.U3.LI.I4.L.A3
鄭興	ZH.EG4.XI.IG1
Mr. Probz	M.EI1.S.ER5.P.U2.L.A4.P.S.IH5
劉在錫	LI.OU2.Z.AI4.XI.I2
鄉城兒童合唱團	XI.AG1.CH.EG2.GS.ER2.TU.OG2.H.E2.CH.AG4.TU.AN2
Joseph Williams	JI.OU1.XI.IE3.F.U5.W.EI1.L.EI4.M
Tyler, The Creator	T.AI1.ER3.L.E5.KU.EI1.T.ER5
T.M.Revolution	TI.I4.GS.EI4.M.RU.A4.F.EG1.LU.U2.XU.AN4
許閣	XU.YU3.G.E2
H.E.R.	GS.EI2.QU.YU3.Y.I1.GS.A3
張芸京	ZH.AG1.YU.IN2.JI.IN1
Jamiroquai	JI.AN3.LI.I4.R.E5.GU.AI1
小蓓蕾組合	XI.AO3.BI.EI4.L.EI3.ZU.U3.H.E2
孝琳	XI.AO4.LI.IN2
MBLAQ	GS.EN1.BI.I4.GS.EI2.L.OU5.GS.EI2.QI.I3.W.EI3
徐若瑄	XU.YU2.RU.O4.XU.AN1
EXO-CBX	Y.I1.GS.EI4.K.S.GS.OU1.S.I1.BI.I1.GS.EI4.K.S
Music Box	MI.OU1.XI.I3.K.B.A4.K.E5.S.T
Herbert von Karajan	H.A1.R.BI.IE4.R.IH3.F.AG1.K.EI1.R.E4.Y.AG1
Vanessa Carlton	R.EN2.NI.IE1.S.A3.K.A3.T.EN3
白安	B.AI2.GS.AN1
Panic! At the Disco	P.EI2.LI.I3.K.XI.IE3.GS.EI2.D.E5.DI.I1.S.IH5.T.OU3
Taio Cruz	T.A1.Y.OU3.K.RU.U3.S.IH5
詹姆斯·霍納	ZH.AN1.MU.U3.S.IH1.HU.O3.N.E5
Ruth B.	RU.U4.S.XI.IE3.BI.I4
JoJo	JI.OU1.JI.OU3
譚詠麟	T.AN2.Y.OG3.LI.IG2
Franz Ferdinand	F.L.AG4.CH.IH5.F.ER5.R.LI.IG4.N.E5
Crayon Pop	KU.EI3.GS.EN1.P.A4.D.E5
Pianobar	PI.I4.GS.A1.N.OU4.B.A4.R
Nicky Romero	NI.I1.K.I3.RU.O1.M.EI4.R.OU3
The Big 鋼琴	R.E5.BI.IG4.G.AG1.QI.IN2
FIESTAR	F.I1.GS.EI1.S.IH5.T.A3
Stray Kids	ZH.IH3.XU.IE3.Y.I3.K.I3.D.E5.S
克里斯汀·貝爾	K.E4.LI.I3.S.IH5.DI.IG1.BI.EI4.GS.ER3
Billie Holiday	BI.I1.LI.I3.H.A1.L.E3.D.EI3
東方神起	DU.OG1.F.AG1.SH.EN2.QI.I3
黃玠	HU.AG2.JI.IE4
DAOKO	D.EI1.OU1.K.OU3
麻吉弟弟 MACHI DIDI	M.A2.QI.I2.DI.I4.DI.I3.M.A1.QI.I4.DI.I1.DI.I3
Dave Koz	DI.IE1.F.U5.K.OU4.S
梁詠琪	LI.AG2.Y.OG3.QI.I2
棉花糖	MI.AN2.HU.A1.T.AG2
The Cranberries	R.E5.K.EI1.M.B.AI1.LI.I3.S
陳零九	CH.EN2.LI.IG2.JI.OU3
Ólafur Arnalds	GS.OU1.L.AI2.F.ER3.GS.ER3.R.OU2.CH.IH5
Christopher	K.EI1.S.IH5.T.E4.F.ER3
Classical Lullabies	K.L.A1.C.IH3.K.OU3.L.A1.L.E5.B.AI3.S.IH5
陳曉東	CH.EN2.XI.AO3.DU.OG1
林海	LI.IN2.H.AI3
卓文萱	ZHU.O2.W.EN2.XU.AN1
Ziv Zaifman	R.IH3.JI.IE1.S.L.EI2.F.M.EN5
蕭閎仁	XI.AO1.HU.OG2.R.EN2
法蘭黛樂團	F.A3.L.AN2.D.AI4.YU.IE4.TU.AN2
Nokto Music	N.A1.T.OU1.MI.OU1.XI.I3.K.E5
許慧欣	XU.YU3.HU.EI4.XI.IN1
ASTRO	GS.EI2.S.QI.OU3
Norah Jones	RU.O4.L.A1.JI.OU4.S
Ronan Keating	R.OU1.N.EN3.K.I1.TI.IG3
Of Monsters and Men	GS.OU4.F.U5.M.AG2.S.IH5.T.ER3.S.IH5.GS.EN5.M.EN2
Yellow Claw	Y.IE1.L.OU3.K.L.OU5
Lovelyz	L.E4.F.U3.LI.I3.S
EGOIST	Y.I1.G.OU3.Y.I3.S.T
Sam Feldt	XI.AN1.F.EI4.GS.OU3.T.ER5
Gabrielle Aplin	G.EI4.BI.IG1.GS.EI2.L.OU5.GS.EI2.F.U2.LI.I3
Sean Kingston	S.I1.GS.AG1.TI.IG1.S.IH5.D.EG3
Miloš Karadaglić	M.AI4.L.OU4.S.IH5.K.A3.RU.A5.D.EI1.G.E5.LI.I3
JYJ	ZH.EI1.W.AI1.ZH.EI4
袁詠琳	YU.AN2.Y.OG3.LI.IN2
Sabrina Carpenter	S.A3.BU.U4.Y.IG4.N.A4.K.A1.G.EN3.T.ER3
劉德華	LI.OU2.D.E2.HU.A2
Kevin Kern	K.IE4.F.EN3.K.AN4
蔡琴	C.AI4.QI.IN2
BENI	BI.EI2.NI.I3
Lil Pump	LI.I4.W.U3.P.AG4
1976	N.AI4.K.JI.IG1.SH.A1.F.EN1.TI.I1.XI.IE3.K.S
激膚	JI.I1.F.U1
Chris Tomlin	KU.EI2.S.IH5.D.A1.M.EN5.NI.I3
Mumford & Sons	MU.U4.F.O4.GS.EN1.SH.AO4.S
Elevation Worship	GS.A1.L.E4.F.EI1.XI.IE3.W.EN1.XI.AN4
2CELLOS	TI.OU4.K.QI.A4.L.OU5.S
Basick	BI.EI1.S.XI.I3.K.E5
James Morrison	JI.AN2.S.IH5.M.O1.R.I3.SH.EN3
雀斑	QU.IE4.B.AN1
福山雅治	F.U2.SH.AN1.Y.A3.ZH.IH4
Jack Garratt	JI.IE4.K.E5.G.A1.RU.A4.T
dvsn	BI.I3.BI.I4.GS.EI2.S.IH5.GS.EN1
Secret Garden	XI.I1.KU.U3.LI.IE4.T.G.A1.D.EN3
929	JI.OU3.GS.ER4.JI.OU3
Ravi	R.OU1.BI.I3
Falcom Sound Team jdk	F.EI1.Y.AO1.K.EN3.S.AG1.JI.IN4.ZH.EI1.DI.I1.K.EI4
巨石·強森	JU.YU4.SH.IH2.QI.AG2.SH.EG1
黃慧音	HU.AG2.HU.EI4.Y.IN1
Arcade Fire	GS.A4.K.EI4.D.EI4.F.AI4.GS.ER3
All Saints	GS.OU1.S.AN4.CH.IH5
Earth, Wind & Fire	GS.ER2.S.IH5.W.EI1.N.GS.EN1.F.A1.Y.IE3.GS.ER3
柳昇佑	LI.OU3.SH.EG1.Y.OU4
Broods	BU.U2.RU.U3.S.IH5
Erykah Badu	GS.EI1.R.I1.K.A3.B.A4.DU.U4
Rejjie Snow	RU.EI1.JI.I1.S.IH3.N.OU4
Luther Vandross	LU.U4.S.A3.W.EI1.N.ZHU.O3.S
May J.	M.EI4.ZH.EI4
John Coltrane	JI.AG1.K.OU1.QU.AN4
Sebastian Ingrosso	S.IH5.D.A1.S.QI.AN1.Y.IG2.G.E1.R.OU3.S.OU4
Joey Bada$$	QI.OU1.Y.I3.B.A1.D.E5.S.IH5
縱貫線	ZU.OG4.GU.AN4.XI.AN4
Mura Masa	M.E1.R.AN2.M.A1.S.A3
Journey	ZH.E2.NI.I3
喜多郎	XI.I3.DU.O1.L.AG2
gesunokiwamiotome	G.EI4.SU.U1.N.OU1.K.I1.W.A1.MI.I1.GS.OU1.TU.O1.M.EI3
Andra Day	GS.EN1.ZHU.A3.D.EI4
Kodak Black	KU.U1.D.A1.BU.U2.L.EI4.K.E5
DVBBS	DI.I1.W.I1.BI.I1.BI.I1.GS.EI4.S
Samuel E. Wright	S.AN4.MI.OU3.Y.I2.W.AI4.T.E5
The Piano Guys	D.E5.PI.I3.Y.IE1.N.OU3.G.AI4.S.IH5
AWOLNATION	GS.EI1.W.O3.LI.IN2.XU.AN1
Andrea Bocelli	GS.AG1.JU.IE4.Y.I3.B.AO3.QI.A4.L.E5.Y.I3
